RegionID,FileName,LoopDepth,IterationSpace,BasicBlocks,IntArithmetic,FloatArithmetic,IntMultiply,FloatMultiply,IntDivision,FloatDivision,SpecialFunctions,FMAOperations,Loads,Stores,BytesRead,BytesWritten,StrideClass,IndirectAccesses,ReductionVars,FunctionCalls,ArraysAccessed,BranchCount,SelectCountSerialTime,OpenMP3Time,OpenMP45ResidentTime,OpenMP45ObservedTime,OpenMP45IsolatedTime,OpenACCResidentTime,OpenACCObservedTime,OpenACCIsolatedTime,SerialTime
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_175.c,1,175,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_175.c,1,175,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_176.c,1,176,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_176.c,1,176,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_177.c,1,177,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_177.c,1,177,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_178.c,1,178,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_178.c,1,178,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_179.c,1,179,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_179.c,1,179,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_180.c,1,180,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_180.c,1,180,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_181.c,1,181,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_181.c,1,181,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_182.c,1,182,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_182.c,1,182,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_183.c,1,183,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_183.c,1,183,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_184.c,1,184,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_184.c,1,184,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_185.c,1,185,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_185.c,1,185,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_186.c,1,186,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_186.c,1,186,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_187.c,1,187,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_187.c,1,187,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_188.c,1,188,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_188.c,1,188,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_189.c,1,189,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_189.c,1,189,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
0,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_190.c,1,190,3,2,0,0,0,0,0,0,0,0,2,0,16,1,0,0,0,2,0,0,,,,,,,,
1,/home/capc1/ProfitabilityTool-new-27-07-26/ProfitabilityTool/capc_refresh_work_VAuT2i/feature_variants/memory-floatDiv-branch_serial_N_190.c,1,190,3,0,0,0,0,0,2,0,0,2,1,16,8,1,0,0,0,3,0,1,,,,,,,,
